D_sense	Theta_sense	Px_robot	Py_robot	Px_world	Py_world
17.88854382	2.819842099	-16.9706	5.65685	4.00003	20
17.4642492	2.768604932	-16.2635	6.36396	5.00003	20
17.08800749	2.71496516	-15.5563	7.07107	6.00003	20
16.76305461	2.659079359	-14.8492	7.77817	7.00003	20
16.4924225	2.601173153	-14.1421	8.48528	8.00003	20
16.2788206	2.54154244	-13.435	9.19239	9.00003	20
16.1245155	2.480549485	-12.7279	9.89949	10	20
16.03121954	2.4186133	-12.0208	10.6066	11	20
16	2.35619449	-11.3137	11.3137	12	20
16.03121954	2.29377568	-10.6066	12.0208	13	20
16.1245155	2.231839496	-9.89949	12.7279	14	20
16.2788206	2.17084654	-9.19239	13.435	15	20
15.29705854	2.15879893	-8.48528	12.7279	15	19
14.31782106	2.145101157	-7.77817	12.0208	15	18
13.34166406	2.129395642	-7.07107	11.3137	15	17
12.36931688	2.111215827	-6.36396	10.6066	15	16
11.40175425	2.089942441	-5.65685	9.89949	15	15
10.44030651	2.064737696	-4.94975	9.19239	15	14
9.486832981	2.034443936	-4.24264	8.48528	15	13
8.544003745	1.99742382	-3.53553	7.77817	15	12
7.615773106	1.951302704	-2.82843	7.07107	15	11
6.708203932	1.892546881	-2.12132	6.36396	15	9.99999
5.830951895	1.81577499	-1.41421	5.65685	15	8.99999
5	1.712693381	-0.707107	4.94975	15	7.99999
5	1.712693381	-0.707107	4.94975	15	7.99999
