D_sense 	theta_sense
17.88854382	2.819842099
17.4642492	2.768604932
17.08800749	2.71496516
16.76305461	2.659079359
16.4924225	2.601173153
16.2788206	2.54154244
16.1245155	2.480549485
16.03121954	2.4186133
16	2.35619449
16.03121954	2.29377568
16.1245155	2.231839496
16.2788206	2.17084654
15.29705854	2.15879893
14.31782106	2.145101157
13.34166406	2.129395642
12.36931688	2.111215827
11.40175425	2.089942441
10.44030651	2.064737696
9.486832981	2.034443936
8.544003745	1.99742382
7.615773106	1.951302704
6.708203932	1.892546881
5.830951895	1.81577499
5	1.712693381
