L_ticks	L_direction	R_ticks	R_direction	time
0	1	0	1	8
7	1	7	1	13
13	1	13	1	17
19	1	19	1	21
25	1	25	1	25
31	1	31	1	28
37	1	37	1	32
42	1	42	1	36
46	1	46	1	39
51	1	51	1	43
54	1	54	1	44
58	1	58	1	45
60	1	60	1	50
62	1	62	1	55
64	1	64	1	58
64	1	64	1	59
64	1	64	1	64
64	1	64	1	67
63	1	63	1	69
61	1	61	1	71
59	1	59	1	72
56	1	56	1	77
52	1	52	1	78
48	1	48	1	79
44	1	44	1	83
39	1	39	1	88
33	1	33	1	91
28	1	28	1	95
22	1	22	1	96
16	1	16	1	101
10	1	10	1	102
3	1	3	1	104
0	1	0	-1	107
1	1	1	-1	108
2	1	2	-1	109
3	1	3	-1	112
4	1	4	-1	116
5	1	5	-1	117
6	1	6	-1	118
7	1	7	-1	121
8	1	8	-1	123
8	1	8	-1	128
9	1	9	-1	132
9	1	9	-1	134
10	1	10	-1	135
10	1	10	-1	136
10	1	10	-1	137
10	1	10	-1	140
10	1	10	-1	143
10	1	10	-1	148
10	1	10	-1	149
10	1	10	-1	154
10	1	10	-1	159
9	1	9	-1	160
9	1	9	-1	165
8	1	8	-1	169
7	1	7	-1	172
6	1	6	-1	176
6	1	6	-1	180
5	1	5	-1	181
4	1	4	-1	184
3	1	3	-1	185
2	1	2	-1	190
1	1	1	-1	193
0	1	0	1	198
2	1	1	1	203
3	1	2	1	204
4	1	3	1	207
5	1	4	1	209
6	1	5	1	213
7	1	6	1	217
8	1	7	1	222
9	1	8	1	225
10	1	8	1	228
11	1	9	1	229
11	1	9	1	231
12	1	10	1	236
12	1	10	1	237
12	1	10	1	242
12	1	10	1	243
12	1	10	1	247
12	1	10	1	251
12	1	10	1	254
12	1	10	1	257
11	1	10	1	259
11	1	9	1	264
10	1	9	1	267
9	1	8	1	271
9	1	7	1	272
8	1	6	1	275
7	1	6	1	280
6	1	5	1	281
5	1	4	1	285
3	1	3	1	286
2	1	2	1	289
1	1	1	1	290
0	1	0	1	295
7	1	7	1	299
13	1	13	1	301
19	1	19	1	303
25	1	25	1	307
31	1	31	1	309
37	1	37	1	313
42	1	42	1	317
46	1	46	1	322
51	1	51	1	324
54	1	54	1	325
58	1	58	1	330
60	1	60	1	335
62	1	62	1	339
64	1	64	1	342
64	1	64	1	344
64	1	64	1	349
64	1	64	1	351
63	1	63	1	356
61	1	61	1	359
59	1	59	1	363
56	1	56	1	365
52	1	52	1	366
48	1	48	1	369
44	1	44	1	374
39	1	39	1	375
33	1	33	1	377
28	1	28	1	378
22	1	22	1	379
16	1	16	1	383
10	1	10	1	386
3	1	3	1	387
0	1	0	1	389
7	1	7	1	391
13	1	13	1	394
19	1	19	1	398
25	1	25	1	399
31	1	31	1	401
37	1	37	1	406
42	1	42	1	410
46	1	46	1	411
51	1	51	1	415
54	1	54	1	416
58	1	58	1	418
60	1	60	1	423
62	1	62	1	424
64	1	64	1	425
64	1	64	1	427
64	1	64	1	432
64	1	64	1	436
63	1	63	1	438
61	1	61	1	442
59	1	59	1	446
56	1	56	1	448
52	1	52	1	453
48	1	48	1	458
44	1	44	1	463
39	1	39	1	465
33	1	33	1	469
28	1	28	1	473
22	1	22	1	477
16	1	16	1	479
10	1	10	1	481
3	1	3	1	485
0	-1	0	1	488
1	-1	1	1	492
2	-1	2	1	493
3	-1	3	1	497
4	-1	4	1	498
5	-1	5	1	500
6	-1	6	1	502
7	-1	7	1	504
8	-1	8	1	505
8	-1	8	1	507
9	-1	9	1	510
9	-1	9	1	511
10	-1	10	1	512
10	-1	10	1	515
10	-1	10	1	519
10	-1	10	1	520
10	-1	10	1	525
10	-1	10	1	527
10	-1	10	1	530
10	-1	10	1	531
10	-1	10	1	534
9	-1	9	1	539
9	-1	9	1	541
8	-1	8	1	542
7	-1	7	1	547
6	-1	6	1	548
6	-1	6	1	550
5	-1	5	1	553
4	-1	4	1	554
3	-1	3	1	555
2	-1	2	1	559
1	-1	1	1	561
0	1	0	1	562
1	1	2	1	567
2	1	3	1	570
3	1	4	1	574
4	1	5	1	576
5	1	6	1	579
6	1	7	1	582
7	1	8	1	585
8	1	9	1	586
8	1	10	1	588
9	1	11	1	590
9	1	11	1	594
10	1	12	1	599
10	1	12	1	603
10	1	12	1	604
10	1	12	1	607
10	1	12	1	610
10	1	12	1	614
10	1	12	1	619
10	1	12	1	620
10	1	11	1	622
9	1	11	1	626
9	1	10	1	630
8	1	9	1	632
7	1	9	1	635
6	1	8	1	638
6	1	7	1	641
5	1	6	1	643
4	1	5	1	644
3	1	3	1	649
2	1	2	1	650
1	1	1	1	654
0	1	0	1	657
7	1	7	1	660
13	1	13	1	665
19	1	19	1	667
25	1	25	1	668
31	1	31	1	673
37	1	37	1	676
42	1	42	1	681
46	1	46	1	685
51	1	51	1	686
54	1	54	1	688
58	1	58	1	690
60	1	60	1	694
62	1	62	1	697
64	1	64	1	701
64	1	64	1	705
64	1	64	1	708
64	1	64	1	713
63	1	63	1	715
61	1	61	1	720
59	1	59	1	721
56	1	56	1	724
52	1	52	1	728
48	1	48	1	731
44	1	44	1	734
39	1	39	1	735
33	1	33	1	740
28	1	28	1	745
22	1	22	1	748
16	1	16	1	750
10	1	10	1	755
3	1	3	1	757
3	1	3	1	762
3	1	3	1	763
3	1	3	1	768
